order_id,customer_id,category,payment_method,order_amount,discount_pct,customer_past_orders,customer_past_returns,customer_return_rate,account_age_days,day_of_week,hour_of_day,address_mismatch,returned
ORD100000,CUST3619,apparel,UPI,989.67,20,2,0,0.0,564,1,7,0,1
ORD100001,CUST1419,books,cod,2352.82,0,3,0,0.0,179,4,13,0,0
ORD100002,CUST1383,electronics,credit_card,82.27,5,2,0,0.0,1035,4,0,0,0
ORD100003,CUST3932,books,cod,401.99,10,1,1,1.0,860,1,14,0,0
ORD100004,CUST4315,apparel,credit_card,411.5,0,2,0,0.0,1430,3,10,0,0
ORD100005,CUST1881,home_goods,UPI,553.6,15,3,3,1.0,190,3,3,0,1
ORD100006,CUST2408,footwear,debit_card,606.36,5,3,0,0.0,89,5,14,0,0
ORD100007,CUST4985,beauty,UPI,1059.65,20,2,0,0.0,1131,2,20,0,1
ORD100008,CUST4529,home_goods,cod,199.03,0,3,1,0.333,394,5,2,0,0
ORD100009,CUST1933,home_goods,UPI,1448.63,15,4,0,0.0,477,6,3,0,0
ORD100010,CUST2857,books,debit_card,213.79,10,4,0,0.0,334,2,11,0,0
ORD100011,CUST2093,books,UPI,993.43,30,6,0,0.0,1248,5,5,0,0
ORD100012,CUST2002,electronics,netbanking,1842.7,30,0,0,0.0,778,2,20,0,0
ORD100013,CUST1899,books,debit_card,484.73,5,4,2,0.5,115,1,1,0,0
ORD100014,CUST2643,home_goods,UPI,282.02,0,2,0,0.0,433,4,22,0,0
ORD100015,CUST3684,beauty,netbanking,419.99,10,4,1,0.25,1317,3,4,0,0
ORD100016,CUST2010,books,cod,1063.68,0,3,0,0.0,1104,2,23,0,0
ORD100017,CUST4677,footwear,netbanking,670.03,0,3,1,0.333,742,1,4,0,0
ORD100018,CUST1372,apparel,UPI,500.0,15,4,2,0.5,314,5,5,0,0
ORD100019,CUST2729,footwear,UPI,1880.92,30,3,0,0.0,789,3,19,1,1
ORD100020,CUST3167,home_goods,cod,840.89,0,3,0,0.0,24,5,23,0,0
ORD100021,CUST4624,footwear,debit_card,364.69,20,4,0,0.0,1313,2,3,0,0
ORD100022,CUST1647,beauty,UPI,1343.37,15,4,1,0.25,1479,5,8,1,0
ORD100023,CUST4120,electronics,cod,282.39,40,3,1,0.333,218,6,20,0,1
ORD100024,CUST3617,footwear,cod,337.84,30,2,2,1.0,408,1,11,0,0
ORD100025,CUST3209,footwear,UPI,696.85,30,4,2,0.5,1227,2,15,0,1
ORD100026,CUST4805,home_goods,debit_card,1004.29,20,5,0,0.0,491,0,7,0,0
ORD100027,CUST4878,apparel,UPI,644.38,10,2,0,0.0,1499,3,2,1,1
ORD100028,CUST3181,electronics,credit_card,325.55,10,3,0,0.0,1352,3,17,0,0
ORD100029,CUST3161,footwear,netbanking,3696.55,20,4,0,0.0,434,4,23,0,0
ORD100030,CUST3920,home_goods,netbanking,996.24,10,1,0,0.0,1376,5,11,0,0
ORD100031,CUST3119,beauty,UPI,1417.01,5,5,0,0.0,508,1,2,0,0
ORD100032,CUST3409,footwear,credit_card,948.66,10,1,0,0.0,1206,1,0,0,0
ORD100033,CUST3584,apparel,credit_card,134.83,15,1,0,0.0,139,0,10,0,0
ORD100034,CUST1974,home_goods,netbanking,1686.7,15,1,1,1.0,439,4,4,0,0
ORD100035,CUST4614,footwear,cod,728.37,5,7,0,0.0,969,1,15,0,0
ORD100036,CUST1779,apparel,UPI,450.72,5,1,1,1.0,1350,3,11,0,0
ORD100037,CUST2912,books,UPI,1424.55,30,3,1,0.333,1380,5,20,0,1
ORD100038,CUST2649,books,debit_card,159.15,20,6,1,0.167,224,1,6,0,0
ORD100039,CUST2837,electronics,netbanking,1147.75,5,0,0,0.0,376,2,14,0,0
ORD100040,CUST4781,apparel,netbanking,3071.29,10,3,2,0.667,1128,0,1,0,0
ORD100041,CUST3214,apparel,UPI,706.73,10,2,0,0.0,485,1,13,0,0
ORD100042,CUST1875,beauty,UPI,344.54,0,2,1,0.5,338,3,0,1,0
ORD100043,CUST2086,beauty,debit_card,1674.86,40,3,1,0.333,867,5,23,1,0
ORD100044,CUST3276,books,netbanking,522.25,10,1,0,0.0,318,1,9,0,0
ORD100045,CUST1239,footwear,cod,1007.75,50,3,1,0.333,125,5,10,0,0
ORD100046,CUST3392,beauty,cod,795.74,0,6,0,0.0,1088,1,1,1,1
ORD100047,CUST1328,electronics,UPI,3834.68,5,2,0,0.0,1219,0,21,0,0
ORD100048,CUST2653,apparel,cod,874.28,5,6,1,0.167,505,4,19,0,1
ORD100049,CUST1335,beauty,cod,627.1,30,3,3,1.0,1158,4,10,1,0
ORD100050,CUST1836,books,debit_card,609.78,30,8,0,0.0,489,2,12,0,0
ORD100051,CUST3643,home_goods,netbanking,222.54,15,2,1,0.5,648,6,2,0,0
ORD100052,CUST3544,footwear,UPI,1708.61,15,3,0,0.0,151,4,6,0,0
ORD100053,CUST1542,home_goods,UPI,2189.08,0,1,0,0.0,501,2,9,0,0
ORD100054,CUST4415,footwear,debit_card,258.11,40,4,2,0.5,1253,6,20,0,1
ORD100055,CUST3735,footwear,debit_card,170.25,10,4,0,0.0,1359,0,4,0,0
ORD100056,CUST4644,apparel,cod,891.83,0,4,0,0.0,319,2,9,0,0
ORD100057,CUST3939,home_goods,credit_card,435.19,0,1,0,0.0,1408,5,8,0,0
ORD100058,CUST2028,apparel,UPI,696.44,15,0,0,0.0,1300,3,8,0,0
ORD100059,CUST2366,electronics,debit_card,607.98,30,2,0,0.0,331,5,14,0,0
ORD100060,CUST2751,footwear,UPI,197.92,10,1,0,0.0,230,0,22,1,1
ORD100061,CUST3234,apparel,debit_card,680.55,10,1,0,0.0,1193,4,4,0,0
ORD100062,CUST1171,home_goods,debit_card,363.19,0,2,0,0.0,82,2,6,0,0
ORD100063,CUST3731,apparel,debit_card,2565.0,20,1,0,0.0,1147,6,13,1,0
ORD100064,CUST4069,electronics,credit_card,467.59,0,3,0,0.0,333,6,5,0,1
ORD100065,CUST1101,electronics,debit_card,217.27,0,1,0,0.0,844,6,21,0,0
ORD100066,CUST4320,electronics,debit_card,342.8,30,1,0,0.0,327,6,22,0,1
ORD100067,CUST4572,apparel,netbanking,549.41,50,3,2,0.667,456,1,14,0,1
ORD100068,CUST4360,electronics,credit_card,1403.06,0,3,0,0.0,49,5,6,0,0
ORD100069,CUST2141,apparel,debit_card,1108.62,0,2,0,0.0,720,5,16,0,0
ORD100070,CUST4455,footwear,debit_card,1487.77,5,5,3,0.6,57,0,8,0,0
ORD100071,CUST4942,home_goods,UPI,712.85,15,3,0,0.0,223,4,13,0,0
ORD100072,CUST4221,home_goods,netbanking,1027.4,10,4,0,0.0,1242,4,3,0,0
ORD100073,CUST3361,electronics,debit_card,1542.68,10,3,1,0.333,91,5,13,0,0
ORD100074,CUST4791,footwear,credit_card,759.12,5,3,2,0.667,746,3,2,1,0
ORD100075,CUST4771,home_goods,cod,1292.42,0,5,1,0.2,643,5,3,0,0
ORD100076,CUST2230,footwear,debit_card,466.18,0,5,0,0.0,1366,3,10,0,0
ORD100077,CUST2211,footwear,credit_card,762.4,10,3,0,0.0,393,3,21,1,0
ORD100078,CUST3774,books,credit_card,725.98,15,4,0,0.0,1261,4,9,0,0
ORD100079,CUST4414,apparel,debit_card,301.36,50,4,0,0.0,588,1,13,0,0
ORD100080,CUST3484,books,debit_card,586.16,30,0,0,0.0,953,3,14,0,0
ORD100081,CUST3093,beauty,credit_card,1285.03,5,3,0,0.0,1350,0,9,0,0
ORD100082,CUST3592,footwear,debit_card,661.61,10,4,1,0.25,192,6,7,0,1
ORD100083,CUST1920,electronics,credit_card,536.4,0,3,1,0.333,51,0,7,1,1
ORD100084,CUST3503,apparel,netbanking,420.34,0,2,1,0.5,849,5,18,0,0
ORD100085,CUST3852,beauty,netbanking,126.13,15,1,1,1.0,819,1,4,0,0
ORD100086,CUST1022,apparel,netbanking,273.57,0,3,0,0.0,449,1,22,0,0
ORD100087,CUST1205,footwear,credit_card,719.82,0,2,0,0.0,249,3,4,0,0
ORD100088,CUST3734,footwear,cod,802.49,5,2,1,0.5,1220,2,14,0,0
ORD100089,CUST3946,footwear,netbanking,863.42,10,4,0,0.0,1123,3,5,0,0
ORD100090,CUST2944,beauty,debit_card,238.81,15,4,1,0.25,507,6,20,0,1
ORD100091,CUST4185,footwear,netbanking,508.48,0,3,0,0.0,1284,1,8,0,1
ORD100092,CUST3922,home_goods,credit_card,675.02,0,1,1,1.0,557,2,10,0,0
ORD100093,CUST1330,electronics,credit_card,922.05,15,2,0,0.0,474,3,22,0,0
ORD100094,CUST1876,apparel,netbanking,816.33,15,3,0,0.0,835,2,17,0,0
ORD100095,CUST1255,electronics,netbanking,503.5,15,2,0,0.0,798,6,18,1,0
ORD100096,CUST1080,footwear,netbanking,1052.76,10,4,0,0.0,977,0,11,0,0
ORD100097,CUST2597,beauty,cod,662.31,15,2,0,0.0,1119,6,19,0,0
ORD100098,CUST2999,electronics,debit_card,3229.3,10,4,0,0.0,893,3,0,0,0
ORD100099,CUST3739,books,netbanking,231.49,10,7,0,0.0,1484,1,14,1,1
ORD100100,CUST3548,footwear,UPI,937.95,0,2,1,0.5,807,4,18,0,1
ORD100101,CUST1343,books,netbanking,1641.32,30,2,0,0.0,278,6,14,0,0
