threshold,tp,fp,fn,tn,precision,recall,total_cost
0.05,49,221,0,0,0.1814814814814815,1.0,11050
0.07,49,221,0,0,0.1814814814814815,1.0,11050
0.09,49,221,0,0,0.1814814814814815,1.0,11050
0.11,49,221,0,0,0.1814814814814815,1.0,11050
0.13,49,221,0,0,0.1814814814814815,1.0,11050
0.15,49,221,0,0,0.1814814814814815,1.0,11050
0.17,49,220,0,1,0.1821561338289963,1.0,11000
0.19,49,212,0,9,0.18773946360153257,1.0,10600
0.21,48,205,1,16,0.18972332015810275,0.9795918367346939,10600
0.23,48,196,1,25,0.19672131147540983,0.9795918367346939,10150
0.25,48,194,1,27,0.19834710743801653,0.9795918367346939,10050
0.27,48,189,1,32,0.20253164556962025,0.9795918367346939,9800
0.29,48,188,1,33,0.2033898305084746,0.9795918367346939,9750
0.31,48,185,1,36,0.20600858369098712,0.9795918367346939,9600
0.33,47,182,2,39,0.2052401746724891,0.9591836734693877,9800
0.35,47,161,2,60,0.22596153846153846,0.9591836734693877,8750
0.37,47,147,2,74,0.2422680412371134,0.9591836734693877,8050
0.39,42,130,7,91,0.2441860465116279,0.8571428571428571,8950
0.41,41,113,8,108,0.2662337662337662,0.8367346938775511,8450
0.43,35,90,14,131,0.28,0.7142857142857143,9400
0.45,34,78,15,143,0.30357142857142855,0.6938775510204082,9150
0.47,31,71,18,150,0.30392156862745096,0.6326530612244898,9850
0.49,27,60,22,161,0.3103448275862069,0.5510204081632653,10700
0.51,26,53,23,168,0.3291139240506329,0.5306122448979592,10700
0.53,23,47,26,174,0.32857142857142857,0.46938775510204084,11450
0.55,22,37,27,184,0.3728813559322034,0.4489795918367347,11300
0.57,17,30,32,191,0.3617021276595745,0.3469387755102041,12700
0.59,9,24,40,197,0.2727272727272727,0.1836734693877551,15200
0.61,5,12,44,209,0.29411764705882354,0.10204081632653061,16000
0.63,3,8,46,213,0.2727272727272727,0.061224489795918366,16500
0.65,3,7,46,214,0.3,0.061224489795918366,16450
0.67,2,4,47,217,0.3333333333333333,0.04081632653061224,16650
0.69,2,4,47,217,0.3333333333333333,0.04081632653061224,16650
0.71,1,1,48,220,0.5,0.02040816326530612,16850
0.73,0,0,49,221,0.0,0.0,17150
0.75,0,0,49,221,0.0,0.0,17150
0.77,0,0,49,221,0.0,0.0,17150
0.79,0,0,49,221,0.0,0.0,17150
0.81,0,0,49,221,0.0,0.0,17150
0.83,0,0,49,221,0.0,0.0,17150
0.85,0,0,49,221,0.0,0.0,17150
0.87,0,0,49,221,0.0,0.0,17150
0.89,0,0,49,221,0.0,0.0,17150
0.91,0,0,49,221,0.0,0.0,17150
0.93,0,0,49,221,0.0,0.0,17150
